Time (sec),filt465,filt405
0,0.138195468,0.061185051
0.062914559,0.254287426,0.119861777
0.12582922,0.446283809,0.166145967
0.188743779,0.634107353,0.133998272
0.251658201,0.598466601,0.12596633
0.31457276,0.539011438,0.295362863
0.377487421,0.33907137,0.307566948
0.44040198,0.223498177,0.334159706
0.503316402,0.272838982,0.235021099
0.566230961,0.362175137,0.128868698
0.629145622,0.375444805,0.240804212
0.692060181,0.395199077,0.223035306
0.754974604,0.348483481,0.102813059
0.817889162,0.213513226,0.04530509
0.880803823,0.20981644,0.109398019
0.943718382,0.189394872,0.15508735
1.006633043,0.2748204,0.052172202
1.069547602,0.439497347,0.106034108
1.132462025,0.48446086,0.262195046
1.195376583,0.280493585,0.263548836
1.258291245,0.334087239,0.107263564
1.321205803,0.427518689,0.044485658
1.384120226,0.252663141,0.104476547
1.447034785,0.173967368,0.048315171
1.509949446,0.06178978,0.129447984
1.572864004,0.153800584,0.194129939
1.635778666,0.248120702,0.201585278
1.698693224,0.164674659,0.185861303
1.761607647,0.238246117,0.076711891
1.824522206,0.458283686,0.144252282
1.887436867,0.456205035,0.258994955
1.950351426,0.25379845,0.2051339
2.013265848,0.152847937,0.151741257
2.076180407,0.216519787,0.11481485
2.139095068,0.314638942,0.1580426
2.202009627,0.232085311,0.243990019
2.264924049,0.141924595,0.323894355
2.327838608,0.206267405,0.34909574
2.390753269,0.09472973,0.276796826
2.453667828,0.124613811,0.200728543
2.516582489,0.23265646,0.117762086
2.579497048,0.125392131,0.105347572
2.64241147,0.365411227,0.314774982
2.705326029,0.560128396,0.42604496
2.76824069,0.474298585,0.411236516
2.831155249,0.330132676,0.343351098
2.894069672,0.30944579,0.289584063
2.95698423,0.343275143,0.268328753
3.019898891,0.347678415,0.153055451
3.08281345,0.33371296,0.06982537
3.145728111,0.320649975,0.076594
3.20864267,0.345698383,0.096148808
3.271557093,0.388866073,0.13766221
3.334471651,0.206134386,0.111147106
3.397386312,0.312689841,0.075946617
3.460300871,0.468986418,0.241736222
3.523215294,0.374784589,0.188851609
3.586129853,0.293577631,0.171125194
3.649044514,0.273402882,0.273126501
3.711959072,0.292460613,0.217622874
3.774873495,0.31415186,0.165754381
3.837788054,0.327056387,0.154047423
3.900702715,0.267185797,0.16384761
3.963617274,0.166681187,0.181103477
4.026531935,0.099121403,0.127777219
4.089446493,0.131538786,0.075242503
4.152360916,0.061055339,0.176708459
4.215275475,0.180208785,0.272551876
4.278190136,0.302548034,0.314358632
4.341104695,0.257815983,0.259176248
4.404019117,0.324675951,0.125942292
4.466933676,0.365630343,0.040616238
4.529848337,0.192659536,0.056708907
4.592762896,0.09985087,0.14577843
4.655677557,0.090947446,0.178044951
4.718592116,0.312403856,0.101665735
4.781506538,0.565121158,0.159222562
4.844421097,0.366533173,0.280575293
4.907335758,0.472609586,0.240516792
4.970250317,0.603534465,0.117324877
5.03316474,0.233577296,0.20739865
5.096079298,0.303140771,0.187770248
5.158993959,0.493640792,0.12264918
5.221908518,0.435840457,0.212110006
5.284822941,0.346359868,0.184727849
5.3477375,0.077140609,0.179704376
5.410652161,0.239099575,0.195665888
5.473566719,0.256665912,0.137652506
5.53648138,0.088097508,0.208732798
5.599395939,0.387244993,0.349050134
